,Channel_name,Vid_ids
0,Hussein Nasser,"['2dMuXTB2YPQ', 'NVwCPNSovdE', 'D4M7jTwhevo', 'yYWxOJR5ZbA', 'qXDhMJCuDEc', 'czSIB8czedE', 'iEuz5hPVNXk', '4ZiFKWOPvoc', 'AI0TCXoxEDk', 'KwpV-ICpkc4', 'LygWKgvexRs', 'crF2JrdtM10', 'h_ZoMlNjANY', 'BDhSos_TZRU', '8oUiOj-PJIU', 'mgcv4UR3jKU', 'aBuERMIJhZk', 'bYi9EUQ_e8Y', 'yxM49iyTUU0', 'S7Ifw5XsypQ', '7-ZB7vnpE5o', 'llRX_34X8WY', 'TzS8YimoWjE', 'uHvR7nOu5m4', 'zaQ8uEM5ogU', 'ho9nKj3lFkU', 'eltn4x788UM', 'PT_qEhesKW8', 'Ok2sGW_b-ho', 'msmdMLK4BqI', 'CiyrlU9UQdI', 'HinCxBt6mNY', '6ofvMqzdt5k', 'yS4qcYmJauM', 'yqZDurNOmNI', 'tgWx81_NGcg', 'o5S0-_vniiM', 'xpOeDGrZQ1I', 'jIA7z1gxuc8', '7lYnzRkVVLE', 'CjUdp1UY3uM', 'kVYgN1D2FlA', 'hxdT_QgHUSg', 'PWaXpM-SGj8', 'L-8_CjV6sH4', 'JcKEnhNQHYY', 'PwVzG-1LT9A', 'mZEm3o2WSgk', '8pWA7jsdha8', '9bSC9n55ZjQ', 'MxFt3YsjyQg', '8x4AjUoGErc', 'Fwv_85YRovQ', 'iu8k5DrM_J0', 'khwGOOCAnkY', 'gXdisQwnGc8', 'XtIDFaFU_po', 'NzKcLB0_uAY', 'fnR215jy-X8', 'rjZpGc9xWlM', 'IhrBgoVIoT4', 'N8goWkeBu1w', 'JhIgiAiomsw', '0_AQZbvxH2s', 'k13LpTPdxt4', '2df8PMfajDQ', 'K2qV6VpfR7I', '_k-QAPwajRo', 'WI1qJW67aZQ', '77XnEaWNups', 'Jemuod4wKWo', 'qcInj-XW1Vc', 'YeYIxbiupoo', 'oebtXK16WuU', 'omizQEkTcl4', 'X7AQ_f-ki3s', 'fKO0Me_t2So', 'BFwTpQeblgs', 'tvuZ-wqSTi0', 'ZlTjwVYnbLw', 'JODWEal5vko', 'PsLNQaY5SqE', 'xdYhwW2-6_A', 'KGbwkbaCwss', 'o0y347Qfckc', 'IjJtmfjp1Ls', 'Ix-c2X7dlks', 'AYSxxO2yZp8', 'GRGYXJn08W8', '_Ld1P7NUOnw', '2R5jfLDudgw', 'aTThXMRxmiE', 'DDMAO88MWko', '1xJXTJzp7Mw', 'pV06O5FIeuU', 'TWlJlZKokAs', 'gCvEHt4kbqI', 'rPbiYbkREFg', 'B2G49HZxnRE', 'MBzcgNaXjvc', 'uFbMtOdjEOE', 'Vf47Jyt_hqc', 'RcfyZOx18nQ', 'QClK86lZ0Vo', 'WL2NXQmUOC0', 'WSDjjgSP-jA', 'jvEHUkqbf6o', 'yk7oeFZ8iPE', 'VLTPqImLapM', 'fuGNXbfDLKc', 'UaTFCVZPtYk', 's80ZtjYfltg', 'zt-nGfJwKa0', 'hEap0fIwaGI', 'H_zJ81I_D5E', 'cll-lsNK_N4', 'yBevYAQBXfY', 'UzHl2VzyZS4', 'fxeTdaNl0uc', 'Cq09rMV1EEg', 'Bgay4hNUSPQ', 'rJ2PNDjwfwY', '9w23S_fU74s', 'p6mqb5FCO0g', 'nD5LKAylO7k', 'iQU39VQfy3s', 'cAaqMIaLqXo', 'KmGy3sU6Xw8', '0PgdnpCz0EQ', 'VjC7LFS5Woc', 'VnGYyqh4vgU', 'y3nXwzEGe3o', '1fN3-wfVmbU', 'vfShdjlyRGg', 'mddzlSw8mLg', 'WmPKzFYKijM', 'eKkpW_o5-rA', 'aE2UPg3Ckck', '6THVzuUtwJs', 'aAJJORDSlho', 'J0okraIFPJ0', 'CKCY4GKqxg0', '3y0brOwpcf8', 'eNF9z5JNl-A', 'ixuSv0k-jWU', 'N-uT79a3uSE', 'WWkqyY7jnK0', 'OAx7Z99pFyQ', '5Cjt0l2qP7o', 'JZ-ivZrsHEc', 'l-kM_IpD_p8', 'Iqx90bjsV34', 'kZKRYRznkqE', 'PaQPtvXge0g', '98B6P_QAh68', '-9ELAtJWUTE', 'KvVYXkJ1huI', 'DXTHb9TqJOs', '6NmFI0gULpQ', 'ofAIzUkQcQU', 'JIA4ca0afnY', 'eI_EQNTxF6U', 'NkAGjIi3X-w', 'UqtuPjHFBgw', 'GDfncxI6bCE', 'S9CBxkddue0', 'CUbHx-BXhi4', 'HIcW2584Sd4', 'tJsBxx1DEGg', '4a3bI7AYsy4', 'G4w__ZpvUs0', 'I6456Zg1fIo', 'Vc6kWFivQtw', 'z4XdfFscxSk', 'Rd8_pmPpm3s', 'aXD4tWbkoJo', 'j264R9JCs9w', 'RUTjh04pZDs', 'nhbtUrQ61w0', 'ckEIQdGJ1tc', 'Phmt8UrofDY', 'aDPQ0_MyRnc', 's-a9-V6o_aU', 'gMtchRodC2I', 'douKdQRgDEQ', 'wLdxC9gesBs', 'i4m06W6ubxU', 'pF-BzfImLmc', 'Cuz5WOSXE_s', 'hPbCEHRlYlk', 'jUsEDN_yIGQ', '-CraNvj48J0', 'qoEq_Ro1wjU', 'NAdJojxENEU', 'WqplePFfvuc', 'SJ9Ec1MqhTM', 'XrlfX0duLKQ', '3JdQOExKtUY', 'YAqX4paeaZw', 'C1Y6P6vDFts', 'zvNsK3T4dWE', 'j0NWlYTmalI', 'ETYmvjxc1h4', 'oVitnBgTs14', 'JjXUH0VORnE', 'SjEChq9Yqpk', 'e3HW7l2dt30', 'hi6g-tHNF4Y', 'OVN99SgBGkM', 'uNjACLXoH5A', 'V7FPk4J10KI', '43g3PF-e4ik', 'DQ3D_mplIgY', 'y--0ZXP3qqU', 'px0i9ihcjuM', 'Y5mWz4vK10A', 'Zow5-Pa46MY', '3H0JhBlZSUk', 'PlvMGpQnqOM', 'TsAxgvsPSv4', 'QQVNVOneZNg', '7BXsaU42yok', 'rGx8DB2HsuI', 'bHjbi8xbOIE', '73wykKgA6bY', 'Lm4KfjK2D6E', 'eusHw-mUa8Y', 'vWPTqGpI22U', 'PVm0YEEuS8s', 'GaqFlqAZE-A', '64geP_LAZ5U', 'dhZ5--R42AM', 'cgv0UzMv2qw', 'ptOmy-SmBYU', '6dDtN1wk5Qc', 'nIracKeqsFk', 'JvrvvI4TViA', 'qgWwp0l0M_0', 'stn1poCdbdo', 'O73Yeyc5elg', 'ghAeBRcMif4', 'POBmmmFjIe4', 'cYPDrSB6WMI', 'XgFzHXOk8IQ', 'WDJRRNCGIRs', 'TMamxmcurAQ', 'BM2B4Zc1xFM', '9hzInvEswj0', 'DDBqT8yCQAc', 'eCenv_MkYOU', '7H53Peoh_Jc', '59Z3DlSu8tU', 'p6TeRabqJs0', 'RfolgB-rVe8', '72HS_ZjJPTQ', 'ro-BD3X4fWY', 'g08Omc1wi0s', 'flnw78uhFkE', '59nHDVCciwQ', 'oD6HnSKmmVQ', 'L3170mqWac8', '_UUFMAZswhU', '9yiBLabruZU', 'v1QE3jDCCTk', 'jp8lvtZa1a8', 'xvnY_tS-CtQ', 'CDVDWJ5HE2k', '1-KmLc0c2sk', 'mrp1F2rezdw', 'hpxfElMPZaU', 'I9v-fCz0HZY', 'ccemOqDrc2I', 'zBS4JMyDxFw', 'a2vKVSzlmUU', 'M17nryMueJI', '1FVKkwJw0xM', 'VgI9P-KneYo', '6YXIvy2K_Qw', 'B5Vw6H3oSD8', 'jvdg-jOYK5E', '7RMcWFoiAn8', 'wznMQxZCpco', 'Ph_ZsGI4r3Y', '6TEwVDNA7bI', 'mUFFbObqNFY', 'PAJ5kK50qp8', 'cAFd_dZhY5U', '_E43l5EbNI4', 'uAfNRJJ_BrA', 'bXQ0HvsWI60', 'LBgfSwX4GDI', 'WaidrbjhwVY', 'FExZvpVvYxA', 'UroWECETMEw', 'nkRDmBWDNWk', '5XCPyXS_Im8', '8cXOERg-soY', '4H7bfH31AmI', 'Vw1fCeD06YI', 'BmIpf0zLfIc', '4Wo2jiWXH2o', 'UuAY6Lxkppw', 'QCKZ3VZ87Qo', 'mL0fzj7e6WU', 'e03c3CIGtYU', 'A20hvCH6Drs', 'MbDjrztWtX4', 'brKJFkLQWYo', 'S3tLp_eKjbk', 'T9n_-_oLrbM', 'wMbTHFXImzI', 'J6G8DdLgdJ4', '86olupkuLlU', 'lR1uHVS7I-8', 'NsIeAV5aFLE', 'GwgcChz1M0M', 'zGvazErsoH0', 'bydpDpOTm8s', '76sgBHUl7iI', '-qNSXK7s7_w', '0ozri9APCv0', 'z44Erj8PWNw', '6cncmSaRqzQ', '58RRc2rW7l0', '0j_4EDV-nWY', '3E7HF26XNfU', 'zwerYz8U7_M', 'zgQvlR3nwKc', 'Fbmru6iSee8', 'sakebksjnGo', 'n-paFbO1hXE', '04dQxHb5rQ4', 'xmOTkJ6Eyo4', '5_pmFByqoz4', 'ghA9k9wgOSg', 'JI0lCQZLV2U', 'qYshJmuqYi0', '17a2w7kp3rg', 'cALteOt_tvU', 'Q0irm6xzNNk', 'B2VEQ3jFq6Q', 'emRw8Lg3vys', 'e5uAhoT1hhU', 'o-EkdZW4zbA', 'G86axGfnWag', 'sXjWTLMGmVY', 'CUiBVTcgvBU', 'HVWlMNTNcF4', '40gKzHQWgP0', 'J9AYpmw8E7A', 'iLHhL-vAPqo', 'rMO35XQXuLA', '4QiD8cvzCN0', 'qpC1YH0FhuY', 'kaMeNRP3SKA', '2tsRAcGac9U', 'LGpv01erDdQ', 'm4vatwFryI8', 'XAyxHlD4uYI', 'I8IlO0hCSgY', 'xw4HjtRo1Ik', 'apU1j_gWsCQ', '8z6G9flQevs', 'zHSbMe15c2Q', '1a7E0qh48gM', 'E0TyFbv7gMw', 'C6IL8tjwC5E', 'bDIB2eIzIC8', 'nHOuakyHX1E', 'Q8BL2uXVZZY', '4AHBgA8FC6A', 'naJC-yuCZb8', 'J6LxE-D8GNo', 'sL4jGso9c78', 'hEoV_FjtWhE', '2MXwsOMK3Bg', 'cx6D6sKj3JE', 'ckraiZ_qa2o', 'T5nqr5-zIJE', 'hEwJUvxEC84', 'btKd-VLzNR0', 'iyOC5eTiOXQ', 'DsJMDLFw1Ys', 'FUL_Buud7jY', 'vQ5o4wPvUXg', 'VhTOJedHzHY', 'lvwTgKxOUf4', 'rgPcxg8gjho', '1sjut9xdg58', 'pdC3H8SX-F4', 'L4rD4CU7R-4', 'CrWizvX1Pkk', 'nRjyEezdwsQ', 'tClcCMrXzek', '4HlNv1qpZFY', 'z4C_w1vkbZg', '3coPpYJgFro', '3AIswRtblYY', 'skwb7IH9TtY', 'NnYQ3vg5X9Q', 'SJq61Rhr6N4', 'pD6C1-zSxIM', 'JT3eMp0hme8', 'S6hZcxM3Sz4', 'pR2qNnVIuKE', '0QHmHR55_Lo', 'PFllH0QccCs', 'UKvK76Rnqus', 'ZNGMifZQHxM', 'T8gic7Hb-dk', 'fD0DgrnFuCo', 'G2erltVFchE', 'eWiqa5SgxeA', 'UrwtQfSbrOs', 'I6TcBmNhB78', 'P39KP7fpxQE', 'a7OMdTuYaGc', 'rIw6CSnjJsY', '1Sd1M2-2GCI', 'gejfT1h6LBo', '06Kq50P01sI', 'r1nJT63BFQ0', 'HwhIz-pnyg4', 'Sz7vnUNoBDw', 'CPOpPTpMSiE', '5tBmkxpeTyE', 'manTiXESYG0', 'gOEiBliwMUA', 'wNSZLOabpK4', 'HW1uha7h3dY', 'aTdGt_Mr4Fk', 'bW_BILl7n0Y', 'u3i30gMiqs0', 'UiaJ_Ek3ds0', 'b35Dcz91ItE', 'qWe9YBKSoGQ', 'HAadSWQpB3s', 'x_I6Qc35PuQ', '13v-eWBlvzY', 'Li3H_4f0w0g', 'w6GzQa9R7-4', 'TC116RHsws0', '67DglLwnBTU', 'w1P7FBBrrig', 'haLxy1e_Hwo', 'Vy_9luYaPRM', 'DbxddGtHl70', 'uR4YjsrBj14', 'NqpM2GYbovo', '8q9k1qzXRk4', 'ZYwrQsBvZtI', 'posIZrz-m7s', 'AjNIlebLMRw', 'PTEv9n0vlUo', 'R4NvQMF58K4', 'YirvKh1jP9k', 'XGOxLyWFfl0', 'LN_HcJVbySw', 'ylkAc9wmKhc', '9iKdn2S41Gs', 'mnuYVi5pcfQ', '4OuaONkZw1I', '0avOYByiTRQ', 'gzIcGhJC8hA', '0TA69aD9onM', 'gezpwfbUeUE', 'tp5xBJ2tKpk', 'x8vtmX4vF9I', 'pG_twkFN6iE', '4NsWnT_-FoE', 'GriONb4EfPY', 'fzwkkZp5WcE', 'W4_aGb_MOls', '4Z3MAsdrEi8', 'd-Bfi5qywFo', 'otkKkFrkN88', 'iHNovZUZM3A', 'N8f5zv9UUMI', 'V3C0VvNrFZ8', 'rd1VmW7ItD4', 'T0k-3Ze4NLo', 'nw-RLWwgbP4', 'vJ5cOfiJRgM', '0vFgKr5bjWI', 'U_RKc2UoMTY', 'v2whOJWJSiA', 'hwQbPgvEQyw', '99YNg8UAesI', 'gBygn3cVP80', 'gtxO_niDC5M', '_t8EPImx9LI', 'SqqrOspasag', 'JwQTBq3oivw', 'p8mK8GBCARE', 'NLChKMNyLhc', 'D-l57G-Qdxk', 'U8wffcXm-TM', 'u4LWEXDP7_M', 'X9N2MP7D6i0', 'g7WeY0DZNJ0', 'sh3TPId35Ec', 'o4twb5KQRYo', 'Xkr2nm6UPN8', '6PrR6SW4QGM', 'NizRDkTvxZo', 'V3ZPPPKEipA', 'SudCPE1Cn6U', 'Jznz6pYFT30', 'EjTFlaFSwro', '85XY7H2JPbs', 'qO53PbCUv34', 'BRPvjNQsqis', 'aUF2QCEudPo', 'ibnUI-amsj8', '9sAg7RooEDc', 'fHmPUYu296Y', 'uIx_3EGu9FU', 'nuBi2XbHH18', 'Yw4rkaTc0f8', '6fUI-hQAmZo', 'NMePCdDfUIA', '4wwoAzkEBmE', 'm5JPbz2Nrxg', 'cXxEiWudIUY', 'grVVuGnN9IE', 'J5NkUQ7XRYA', 'xprkGzP36TI', '46O73On0gyI', 'RNloSI2yLp4', 'hVMyRzINrWw', 'SB4vdkieqiI', 'h1TZpWbucj0', 'PfbzNdrecv4', 'G-5c25DYnfI', 'ULKEr8Bdjlc', 'BB2s8K2fWeA', 'WHv_t_yK-QM', 'Rf6AfhqJKxg', '8EjSLjHhsIQ', 'CKrR-pQqtGg', 'KOibBdrdyY0', 'P80Js_qClUE', 'CxamHNc3U4A', 't0zlO5-NWFU', 'dhul9MgS12U', 'zSQtyW_ywZc', 'hadVnnXHcOo', 'cp3Ku1XeOn8', 'BMTaucJYe6Q', 'lk228q9mwrY', 'clK8Wf4-F5k', 'HX9RsIQktuQ', '3v5VLS-oWKs', 'Zgy1miPsTNs', '1acKGwbby-E', 'QA25cMWp9Tk', 'dh406O2v_1c', 'CNipJ0Z5qA0', 'ZkwKyUZWkp4', 'mqWEWye-8m8', 'DFlgyrP5HMY', 'LjC-pXALyLM', 'Ey9YHcWdjWQ', 'J9_oOHGzegk', 'cHtKtfT-WSA', 'qYnA2DFEELw', '-aGM4mfDX48', '6YKbVpWmeLM', 'kYhMnw4aJTw', 'k2caqvBkYv8', '8nKyNzXAjP8', '-4Lid7tBr6Y', 'npnqyRT77Zc', 'vmSMrQ8Ev9w', '-cWs6eoyaLg', 'AZPNYPK8nsw', 'gIkzx7-s2RU', 'R873BlNVUB4', 'fVKPrDrEwTI', 'JHYd1q0-bhs', 'O1PgqUqZKTA', 'XCyP8TU6Rkw', 'qlhqcyB5Spo', 'GTeCtIoV2Tw', 'zhwMv5RxGew', 'Cie5v59mrTg', 'M9Fs-CCe0Jo', 'ZM7gXus7BH8', 'oPZjrhf6UlQ', 'hmTl5Y4ee_Y', 'fVmQCnQ_EPs', 'DzyC8lqbjC8', 'whuccl2FNiI', 'H0bkLsUe3no', 't4naLFSlBpQ', 'e1KJ47tyCso', '2Nt-ZrNP22A', 'JhpUch6lWMw', 'lq6ZimHh-j4', 'M3XQ6yEC51Q', 'aKMLgFVxZYk', 'x4E4mbobGEc', 'ECukPUUK_74', '0OrmKCB0UrQ', 'nhwZn6v5vT0', 'uuWzk8U4dJE', 'RG97rvw1eUo', 'iR4jLbG9KXw', 'AlE5X1NlHgg', '6Tf80mbhyAQ', '4I7tPW8of2g', 'Z3FwixsBE94', 'qqRYkcta6IE', 'K8HJ6DN23zI', '0JNq46eFuOM', 'Azo9tDUtC9s', '7IS7gigunyI', 'sovAIX4doOE', 'MknF8Oxdug0', 'hwN9TogY2TU', 'xBDhb5IPQVk', 'yTh6q-k2bEA', '5QlE6o-iYcE', 'pkMSUlHoiWY', 'OCpXTpIyeO8', 'SwYGK--qqWM', 'zcJWvhzkPsw', 'T-m7ZFxeg1A', 'BnzZ7nrKlF0', 'kOrGN36ViaU', '18q6-QR_XXY', '92b-jjBURkw', 'KKy5Os2JPgs', 'Vj7W8pI-L6w', 'tWQuOgRViaI', '6rTgsFJFv5Y', 'PXn6jrSHf9k', 'vb7fkBeblcw', 'd0of_5-RdzQ', 'ufdHsFClAk0', 'Ka8vG5miErk', 'C4rooZmyltk', 'nHU2NC4vXDs', '2PDkXviEMD0', '5QNL7_i-ay8', 'Q-VsoPAvM2o', '4xGQS8Pv4io', 'iocs7ls8r-k', 'S8J2fkN2FeI', '00bLHDtU7U4', 'VxMKVNU7mR0', 'dTNzcmTZC18', 'S7jRP2eSmk0', 'IjOjiF4_cQc', 'bLjzzcRcRHQ', 'EKCM1oQQrCM', 'W5yfZ6R_Ayk', '51exB9wGeOM', 'q38IHVcBBFQ', 'DQNW9qhl4eA', 'hw3jHk5uOs4', 'IViXt1mpYX4', 'igwG2_su-C0', 'cpHPOkqyAk0', 'hkP4_lbJtbY', '1T2xcarK5TU', 'iuynM_7vrd8', 'r9IZnuZstXM', 'NEKImNnYB70', 'eq6R6dxRuiU', 'WT7Kc-tSS4s', 'Bfj6HiTXY4I', 'uqY0RGGXAKk', 'gTGWXcRPpvE', 'SOBuWS3g7ns', 'it8ybkQuAh8', 'TgZnpp5wJWU', '93Vz2HfUnTw', '8D1NAezC-Dk', 'LMaVIqfb3TQ', 'N5Ky-mz6n-8', 'v48Q5Z86CIE', '3IJ5ko8jSIA', 'ozhe__GdWC8', '8qU3hZOXlBE', 'Xe1BSX3g2HI', '1o7bB4hUPew', 'edB-_JnhoRY', 'PQaXd5gqXLo', 'dVsDBUYA3_Y', 'AYfwXG4iKOM', 'EA1sjQb_qpQ', 'EnnWxq5nQqQ', 'fyl6jHkfaec', '_EZ1tQ0yDo4', 'CedNJFB9WGU', 'bbJhCE83X9g', 'JGLJimhu_IE', 'dj_f1OXuVpg', 'OuCmMoPst0Y', '2MdaSGgl5XM', '1cB27B9nYnE', '9XMHHUgYK2g', 'FPELK256liQ', 'vv3TmB6O_9Q', 'BJZtHmrYY6g', 'cXaUoAW3DZQ', 'M7AwXyOxrOc', 'GtS3Iyb16Mg', 'nFPzI_Qg3FU', 'wBkJv3_wK8I', 'pMGDuIPDSgU', 'ZsXuwIzDczY', 'SVKjja_Mwl0', 'BmX1WhWT27c', 'kPy5Flzzw3s', '6vqzOjfZDco', '7fiAhtP7VrQ', 'ZmyotTE8VDg', 'fBO_un9szlc', '3jNu9-Vs4f4', 'DsRfWivBswI', 'XxM8BZuaKi4', 'gG1TR5Pktno', 'O4N81weRolg', 'Ubcwo-e6zRM', 'fN8Qu5Xu6zM', 'fgrSm6p9qdI', 'DzHxrCkWIpQ', 'obpKw1IwOMs', 'DDSj6BNkBJk', 'FVPs2tOT_zU', '30xJTWhPRBI', '1E-Bsx0uNVo', 'Jvl49U1Jwzk', 'nrKQfQSMNtU', '5TA2z43cRPk', 'x7CstywNijQ', 'j_QtZpnXgjQ', '3TqDph6IqzQ', '3s-bgPg7IWc', '3K6l2RblReA', 'sMxkNIy2fWc', 'XrZs1rwmOwg']"
1,Charlie Chang,"['EiE8f_dFcTk', 'RihmMUajus4', 'ZLgobvQefE8', '5g8FY57svKs', 'savozM2ZJdg', 'vjOrnQpy-zw', 'OjGPlo6xB24', 'MMfPjPuw71o', 'rM7FAYWRjqw', 'NTOaaflv2ZA', 'v9RbObKY2Wo', 'P0V5BI9Jc-k', 'RrrGmJONlvo', 'fw-qUooWejA', 'lIsUxYLcXIA', 'm_2uKFavGAU', 'TMtxepiZHV0', 'h5hMefxxed4', 'Jg14QSiNdRE', 'XCsIHvdF4OI', 'JNL7ZsfKD_4', 'gTrq65yuHeM', 'hDm9Hx0G_CE', 'IMJjrde2jWw', 'JW9J93hrDNE', 'RNxPSuv8Q6U', 'UMvlLWlulqg', 'OQDwvfRFlb4', 'kBuKX2orkgA', 'jFsbaRus3Wg', 'mqMHt4cb4-c', 'rI6KnprLdqk', 'A2moiC4vKR8', 'koe_55782q8', 'ap59OCtu9Z8', 'p6A30VCK4PQ', 'U22tZJf7UwQ', 'MaLpcTOVkJE', 'Rh3I704xXrI', 'LOO3y2NBYXQ', 'Qe8kxN4T5QA', 'K1LNEZe1i-I', 'RP-GnLtIPVM', 'JUGNEBesZy4', 'fz724_LYTLg', 'ov7496ak8NA', 'TL_qVfy_4dY', 'jjfYXZXlQTQ', 'Bgd2PjUuu7o', 'QeTc96fGw1A', '1IdYuNWxAk0', '45KJHy_Flgs', '43AfSuHJhcc', 'FToze-mwUdw', 'fSuohDde5AY', 'w2Vqdmnn2vM', '9s55hOQUo-8', '1c-VpHTRiNE', 'KyBQjkcWl44', 'wpcKQvdmAfM', 'p7E1vlVDlVY', 'N3KteOme1v0', 'PoJnMKNl7lc', 'F7AM3YaCQtE', 'QXQ4s4_lBko', 'Rx14L3TXSWA', 'QokGBnMIPck', 'IsbgqCF_0IY', 'YBTdDfRmcrI', 'kGKuG69tpAc', 'BYMMgLt-7q8', 'LCFzo27H0aA', 'XEa4WS5ZTaU', 'X1kaP4Xvdmg', 'W4osa9DkfuA', 'eMiosZ--nE4', 'dATSEwuBV84', '2XykPoWxEh0', 'hEZSBVDOupY', 'ht8GODw2Pzw', 'IbGF_w3XjrU', 'RESwiACV-2A', 'uhUeROuQN-8', 'Nmr918EyNNk', 'CsQPYlx4Lck', 'on--hpBMcvY', 'EG81mcbAkDI', 'iFIqffaaSH8', 'pShuVz1iFLM', 'C1W5TqeEp9Q', '7hSGX3t_ONY', 'lAQ0FGdGSZI', '-zzQIeZkU6s', 'eUUJwUYXhw4', 'x29DPL79L44', 'R4IjFe_Ge08', 'nrhEmMzKsO8', 'Iqpd7z-CwAw', 'EdOaT7SdZ7c', '58WKjp57TXs', 'vyUNHmluPlg', 'giGcuofIYis', 'WT2fzQp9WVY', 'MIbhy5Wjtlw', '09ME3rbZ4x4', 'vpYXXuGuSNY', 'vOIxDL5XCjY', 'oy15ZpEECgM', 'yIFGJ0YqxYw', 'e-9HqTqZSHc', 'tw27dU_OmvU', '6Cm2vkAKFn4', 'Hz6EU_e34iI', 'A5sOlcNuWKE', 'PlVqGhdC8Qo', '1GSY_CfbYaU', 'VlVVtANWLbw', 'f5mqA6tEw14', 'VidFMcWOeqg', 'YUKwyaqKdvA', '6aoKuxNXPEM', 'j-fObkEeJ3k', 'Ws1bX-AVXwg', 'Kk9zbEGpPeI', '1krf19fuBls', 'yjuiTmpqcTM', 'CUc8J1GIU3U', 'c_hV_D9PrEU', '2rPP0GqHl_g', 'MRZSp297k5I', 'Ygmqh6nyaRU', 'SW9H7U3v0m4', '8jDil-4cGz4', 'icquUUSv7UA', 'j38ZXGcZ9u4', 'XwCYZJj3QQU', 'lt_XtU8aLYM', 'C3k1me7TRQM', 'zHpG-gT-9lI', 'PVgpKaXj0fk', 'gMxl8W9OXKg', 'y7Nca1wDIsM', 'K5o616mrF9s', '6DL7yscRi28', '_XfQak4XFy0', 'GLRX-asrN-4', 'Y4jYNlDZvPw', 'wq1GDVwWz3g', 'lBabQK5Ex6A', 'jcvp6dJFhz8', '_WA9Kc6ER_Y', 'rIwovzYU-64', 'oA1xTkAoV_I', 'zyA_aaSRrKE', 'iQPuHlRte44', '5yt0QHS5PS4', 'cCQ8wc2ljGA', '_7AKKJks6i8', 'C1XZIy5a38w', '8yTK6Tok7EU', 'JB0Qp7TP6Yk', 'JGfMNF9gj_w', 'XQyemeYjYN8', '0sgKNLmeErc', 'AUGlsEw51Ck', 'nAWxd1xfoKg', '0rYUH2bDbzg', 'QGzpxUkfIVw', 'gS6udF73L8c', '1lKC1zP7Ah8', 'FRSIXQv7Y7g', 'b5VzW3AgFTQ', 'WCSK3VyXGoQ', 'oS4FG-AwUGU', 'C8qsAIbuIzs', 'KdZNiVFlQIs', 'oUPuBXUsc_4', 'KNDmHsICjyQ', '1yzPnPeaELE', 'c_TPAZEh5Zs', '1LGeqUvE9L0', 'GPG9Oj-2ypA', 'GXKmZEMGO4w', 'dLFys4v8zuA', 'Nzo7eDCC8FA', 'nmBGCRRd9Pc', 'Xt92A3CciU4', '5BtNKcP-gQ8', 'xy5dut6Xq2Y', 'kVFBLm4slxw', 'UyMPXe8WQ9w', 's3EDTTlCp8g', 'SHwDePphnCo', 'U6rZeym-mnQ', 'Jww0vnMWjRA', 'F2RdHCzVIHE', '9wp-OTPRn68', 'PbyOLKQ6eQ4', 'EBUI1yjbzUU', '76_0WMJEPfk', 'gxlhsuWLIoI', 'mBv9F_2_ctk', 'Lo7wO5CkSBI', 'nRdAiJLEo5Y', '2uch9VXjmPA', 'FoOraGzrh5k', 'GbRisp94c9M', '57rc4qBFD9U', 'vVeUubyxZkk', 'vLdkOI8gAqI', '-xDW4i3ZKAk', 'vHZHazQxeq8', 'EjAnTuthhVY', 'XvARPTeLOAQ', 'vAIYNoOGAsI', 'rkZTE4KTZeo', '8cadGZc7HUw', 'qRmmiXf-_sU', 'QB-ZvedP3BA', 'rKn-OLQoQmk', 'kRhuGWt9CU4', 'KLyqxNFL_lQ', '9gnhFpRTPR8', 'sqOcI9ARip8', 'y3-5WpmOFwk', 'EgQBJyYEwYU', '5KoFsgJZtaI', 'Mz5LIXu7tFo', '0n28qpsUj_Q', 'cEjY9AZgfnQ', '2oBEzON_Kl8', 'Uo7pYx-7rZE', 'vlveo4_o23c', '6jbbdytVDJ4', '_2DOo4Qq_Xo', 'HqR08gYwYf8', 'uasKXNstftQ', 'x0SkxyFjPCY', 'I39qiuPr6Ec', '74Mr-AoRHMU', 'ILFgTGbl-zM', 'JBxcpDNaaYc', '8zi0idJsaTQ', 'vzgFTXurS5Y', '1Ku34mmuxiw', 'uwFxlFAjgDo', 'MoJDkEqMSjg', 'Uew5KKnvPOc', '1iar-GuARCE', '5XiqmNrQdPo', 'zoRvadDdlXQ', '_TARUXgNaYQ', 'mTepQvYVXrI', 'JNGw26tPWQA', '7TFUy5_jI2Y', 'ND0-Wxp8Ngw', 'cRB4fzJYOds', 'tI8TjnswPlU', 'qsSp0dgGxes', 'nBt3F5ROW7I', '-OTZ_1cbp2I', 'x-hPSxxosD4', 'aL3RERxiYwo', '7vkJqXYIbOI', 'arpBdSmK7Bs', 'rbTDoIDeWZc', 'FMIm8w2n7KM', 'qfef2EGkNWo', 'VhsYMv3zvq0', 'jWHHwkziIsU']"
