,Title,Channel_name,text,text_cln,Title_cln,text_lemma,text_stem,tokens,topic
502,,,,,,,,,
570,,,,,,,,,
662,,,,,,,,,
826,,,,,,,,,
862,,,,,,,,,
995,,,,,,,,,
1397,,,,,,,,,
1669,,,,,,,,,
1967,,,,,,,,,
1993,,,,,,,,,
2120,,,,,,,,,
2194,,,,,,,,,
2387,,,,,,,,,
2726,,,,,,,,,
2832,,,,,,,,,
3264,,,,,,,,,
3914,,,,,,,,,
3961,,,,,,,,,
3965,,,,,,,,,
3975,,,,,,,,,
4232,,,,,,,,,
4398,,,,,,,,,
4425,,,,,,,,,
4432,,,,,,,,,
4600,,,,,,,,,
4890,,,,,,,,,
4904,,,,,,,,,
4931,,,,,,,,,
5047,,,,,,,,,
5632,,,,,,,,,
5866,,,,,,,,,
6077,,,,,,,,,
6136,,,,,,,,,
6329,,,,,,,,,
6410,,,,,,,,,
6646,,,,,,,,,
6756,,,,,,,,,
6873,,,,,,,,,
6915,,,,,,,,,
7372,,,,,,,,,
7398,,,,,,,,,
7459,,,,,,,,,
7703,,,,,,,,,
7755,,,,,,,,,
7829,,,,,,,,,
7893,,,,,,,,,
8294,,,,,,,,,
8530,,,,,,,,,
8576,,,,,,,,,
8615,,,,,,,,,
9048,,,,,,,,,
9057,,,,,,,,,
9394,,,,,,,,,
9447,,,,,,,,,
9476,,,,,,,,,
9490,,,,,,,,,
9596,,,,,,,,,
9657,,,,,,,,,
9658,,,,,,,,,
9932,,,,,,,,,
10236,,,,,,,,,
10314,,,,,,,,,
10651,,,,,,,,,
10677,,,,,,,,,
10869,,,,,,,,,
10891,,,,,,,,,
11275,,,,,,,,,
11320,,,,,,,,,
11613,,,,,,,,,
11643,,,,,,,,,
11913,,,,,,,,,
11992,,,,,,,,,
12063,,,,,,,,,
12111,,,,,,,,,
12135,,,,,,,,,
12224,,,,,,,,,
12227,,,,,,,,,
12231,,,,,,,,,
12255,,,,,,,,,
12323,,,,,,,,,
12753,,,,,,,,,
12886,,,,,,,,,
13040,,,,,,,,,
13062,,,,,,,,,
13472,,,,,,,,,
13479,,,,,,,,,
13493,,,,,,,,,
13904,,,,,,,,,
13925,,,,,,,,,
13943,,,,,,,,,
14072,,,,,,,,,
14129,,,,,,,,,
14311,,,,,,,,,
14396,,,,,,,,,
14734,,,,,,,,,
14817,,,,,,,,,
15126,,,,,,,,,
15145,,,,,,,,,
15483,,,,,,,,,
15702,,,,,,,,,
